version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,65.58345642540621,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,63.36779911373708,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,62.0384047267356,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,64.69719350073855,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,66.61742983751846,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,67.20827178729691,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,71.19645494830132,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,66.46971935007386,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,64.10635155096011,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,62.481536189069416,0583ed3c-55b9-11ec-b1f4-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
